2026-01-27 10:14:01 | extract | INFO | Starting extraction for 19 movies...
2026-01-27 10:14:47 | extract | WARNING | Failed movie IDs: [0]
2026-01-27 10:14:47 | extract | INFO | Created DataFrame with 18 rows and 30 columns
2026-01-27 10:14:47 | extract | INFO | Raw data saved to: data/raw/movies_raw.csv
2026-01-27 10:21:45 | extract | INFO | Starting extraction for 19 movies...
2026-01-27 10:21:45 | extract | INFO | Fetching movie ID: 0
2026-01-27 10:21:45 | extract | INFO | Attempt 1 of 3 for movie ID 0
2026-01-27 10:21:49 | extract | WARNING | Attempt 1 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:21:49 | extract | INFO | Retrying in 1.0 seconds...
2026-01-27 10:21:50 | extract | INFO | Attempt 2 of 3 for movie ID 0
2026-01-27 10:21:52 | extract | WARNING | Attempt 2 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:21:52 | extract | INFO | Retrying in 2.0 seconds...
2026-01-27 10:21:54 | extract | INFO | Attempt 3 of 3 for movie ID 0
2026-01-27 10:21:57 | extract | WARNING | Attempt 3 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:21:57 | extract | WARNING | Failed to fetch movie ID 0 after all retries
2026-01-27 10:21:57 | extract | INFO | Fetching movie ID: 299534
2026-01-27 10:21:57 | extract | INFO | Attempt 1 of 3 for movie ID 299534
2026-01-27 10:22:00 | extract | INFO | Successfully fetched: Avengers: Endgame
2026-01-27 10:22:00 | extract | INFO | Attempt 1 of 3 for movie ID 299534
2026-01-27 10:22:02 | extract | INFO | Fetching movie ID: 19995
2026-01-27 10:22:02 | extract | INFO | Attempt 1 of 3 for movie ID 19995
2026-01-27 10:22:05 | extract | INFO | Successfully fetched: Avatar
2026-01-27 10:22:05 | extract | INFO | Attempt 1 of 3 for movie ID 19995
2026-01-27 10:22:08 | extract | INFO | Fetching movie ID: 140607
2026-01-27 10:22:08 | extract | INFO | Attempt 1 of 3 for movie ID 140607
2026-01-27 10:22:11 | extract | INFO | Successfully fetched: Star Wars: The Force Awakens
2026-01-27 10:22:11 | extract | INFO | Attempt 1 of 3 for movie ID 140607
2026-01-27 10:22:14 | extract | INFO | Fetching movie ID: 299536
2026-01-27 10:22:14 | extract | INFO | Attempt 1 of 3 for movie ID 299536
2026-01-27 10:22:16 | extract | INFO | Successfully fetched: Avengers: Infinity War
2026-01-27 10:22:16 | extract | INFO | Attempt 1 of 3 for movie ID 299536
2026-01-27 10:22:20 | extract | INFO | Fetching movie ID: 597
2026-01-27 10:22:20 | extract | INFO | Attempt 1 of 3 for movie ID 597
2026-01-27 10:22:23 | extract | INFO | Successfully fetched: Titanic
2026-01-27 10:22:23 | extract | INFO | Attempt 1 of 3 for movie ID 597
2026-01-27 10:22:25 | extract | INFO | Fetching movie ID: 135397
2026-01-27 10:22:25 | extract | INFO | Attempt 1 of 3 for movie ID 135397
2026-01-27 10:22:28 | extract | INFO | Successfully fetched: Jurassic World
2026-01-27 10:22:28 | extract | INFO | Attempt 1 of 3 for movie ID 135397
2026-01-27 10:22:31 | extract | INFO | Fetching movie ID: 420818
2026-01-27 10:22:31 | extract | INFO | Attempt 1 of 3 for movie ID 420818
2026-01-27 10:22:33 | extract | INFO | Successfully fetched: The Lion King
2026-01-27 10:22:33 | extract | INFO | Attempt 1 of 3 for movie ID 420818
2026-01-27 10:22:35 | extract | INFO | Fetching movie ID: 24428
2026-01-27 10:22:35 | extract | INFO | Attempt 1 of 3 for movie ID 24428
2026-01-27 10:22:38 | extract | INFO | Successfully fetched: The Avengers
2026-01-27 10:22:38 | extract | INFO | Attempt 1 of 3 for movie ID 24428
2026-01-27 10:22:41 | extract | INFO | Fetching movie ID: 168259
2026-01-27 10:22:41 | extract | INFO | Attempt 1 of 3 for movie ID 168259
2026-01-27 10:22:43 | extract | INFO | Successfully fetched: Furious 7
2026-01-27 10:22:43 | extract | INFO | Attempt 1 of 3 for movie ID 168259
2026-01-27 10:22:46 | extract | INFO | Fetching movie ID: 99861
2026-01-27 10:22:46 | extract | INFO | Attempt 1 of 3 for movie ID 99861
2026-01-27 10:22:49 | extract | INFO | Successfully fetched: Avengers: Age of Ultron
2026-01-27 10:22:49 | extract | INFO | Attempt 1 of 3 for movie ID 99861
2026-01-27 10:22:52 | extract | INFO | Fetching movie ID: 284054
2026-01-27 10:22:52 | extract | INFO | Attempt 1 of 3 for movie ID 284054
2026-01-27 10:22:54 | extract | INFO | Successfully fetched: Black Panther
2026-01-27 10:22:54 | extract | INFO | Attempt 1 of 3 for movie ID 284054
2026-01-27 10:22:57 | extract | INFO | Fetching movie ID: 12445
2026-01-27 10:22:57 | extract | INFO | Attempt 1 of 3 for movie ID 12445
2026-01-27 10:23:00 | extract | INFO | Successfully fetched: Harry Potter and the Deathly Hallows: Part 2
2026-01-27 10:23:00 | extract | INFO | Attempt 1 of 3 for movie ID 12445
2026-01-27 10:23:02 | extract | INFO | Fetching movie ID: 181808
2026-01-27 10:23:02 | extract | INFO | Attempt 1 of 3 for movie ID 181808
2026-01-27 10:23:05 | extract | INFO | Successfully fetched: Star Wars: The Last Jedi
2026-01-27 10:23:05 | extract | INFO | Attempt 1 of 3 for movie ID 181808
2026-01-27 10:23:08 | extract | INFO | Fetching movie ID: 330457
2026-01-27 10:23:08 | extract | INFO | Attempt 1 of 3 for movie ID 330457
2026-01-27 10:23:10 | extract | INFO | Successfully fetched: Frozen II
2026-01-27 10:23:10 | extract | INFO | Attempt 1 of 3 for movie ID 330457
2026-01-27 10:23:13 | extract | INFO | Fetching movie ID: 351286
2026-01-27 10:23:13 | extract | INFO | Attempt 1 of 3 for movie ID 351286
2026-01-27 10:23:17 | extract | INFO | Successfully fetched: Jurassic World: Fallen Kingdom
2026-01-27 10:23:17 | extract | INFO | Attempt 1 of 3 for movie ID 351286
2026-01-27 10:23:20 | extract | INFO | Fetching movie ID: 109445
2026-01-27 10:23:20 | extract | INFO | Attempt 1 of 3 for movie ID 109445
2026-01-27 10:23:23 | extract | INFO | Successfully fetched: Frozen
2026-01-27 10:23:23 | extract | INFO | Attempt 1 of 3 for movie ID 109445
2026-01-27 10:23:25 | extract | INFO | Fetching movie ID: 321612
2026-01-27 10:23:25 | extract | INFO | Attempt 1 of 3 for movie ID 321612
2026-01-27 10:23:28 | extract | INFO | Successfully fetched: Beauty and the Beast
2026-01-27 10:23:28 | extract | INFO | Attempt 1 of 3 for movie ID 321612
2026-01-27 10:23:30 | extract | INFO | Fetching movie ID: 260513
2026-01-27 10:23:30 | extract | INFO | Attempt 1 of 3 for movie ID 260513
2026-01-27 10:23:33 | extract | INFO | Successfully fetched: Incredibles 2
2026-01-27 10:23:33 | extract | INFO | Attempt 1 of 3 for movie ID 260513
2026-01-27 10:23:35 | extract | INFO | Extraction complete: 18 succeeded, 1 failed
2026-01-27 10:23:35 | extract | WARNING | Failed movie IDs: [0]
2026-01-27 10:23:35 | extract | INFO | Created DataFrame with 18 rows and 30 columns
2026-01-27 10:47:28 | extract | INFO | Starting extraction for 19 movies...
2026-01-27 10:47:28 | extract | INFO | Fetching movie ID: 0
2026-01-27 10:47:28 | extract | INFO | Attempt 1 of 3 for movie ID 0
2026-01-27 10:47:29 | extract | WARNING | Attempt 1 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:47:29 | extract | INFO | Retrying in 1.0 seconds...
2026-01-27 10:47:30 | extract | INFO | Attempt 2 of 3 for movie ID 0
2026-01-27 10:47:31 | extract | WARNING | Attempt 2 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:47:31 | extract | INFO | Retrying in 2.0 seconds...
2026-01-27 10:47:33 | extract | INFO | Attempt 3 of 3 for movie ID 0
2026-01-27 10:47:34 | extract | WARNING | Attempt 3 failed for movie ID 0: 404 Client Error: Not Found for url: https://api.themoviedb.org/3/movie/0?api_key=d703444a0cdc339616bf4ed9c0609a3b
2026-01-27 10:47:34 | extract | WARNING | Failed to fetch movie ID 0 after all retries
2026-01-27 10:47:34 | extract | INFO | Fetching movie ID: 299534
2026-01-27 10:47:34 | extract | INFO | Attempt 1 of 3 for movie ID 299534
2026-01-27 10:47:35 | extract | INFO | Successfully fetched: Avengers: Endgame
2026-01-27 10:47:35 | extract | INFO | Attempt 1 of 3 for movie ID 299534
2026-01-27 10:47:36 | extract | INFO | Fetching movie ID: 19995
2026-01-27 10:47:36 | extract | INFO | Attempt 1 of 3 for movie ID 19995
2026-01-27 10:47:37 | extract | INFO | Successfully fetched: Avatar
2026-01-27 10:47:37 | extract | INFO | Attempt 1 of 3 for movie ID 19995
2026-01-27 10:47:39 | extract | INFO | Fetching movie ID: 140607
2026-01-27 10:47:39 | extract | INFO | Attempt 1 of 3 for movie ID 140607
